                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.70719,                 1.2832,                 0.6947,                 1.0863,                0.88012,                0.75754,                0.85909,                0.66235,                0.89632,                 0.7709,                0.86227,                0.63328,                 0.7543,                  1.536,                0.72354,                 1.1755,              0.0016832,              0.0016832,              0.0016832
                     35,                0.69371,                 1.2891,                0.68113,                 1.0874,                0.85399,                0.77197,                0.84953,                0.65662,                0.85541,                0.79136,                0.85781,                0.64161,                0.76664,                 1.5187,                0.70478,                  1.215,              0.0016733,              0.0016733,              0.0016733
                     36,                0.68163,                 1.2756,                0.66921,                 1.0837,                0.86051,                0.77197,                0.85455,                  0.675,                0.87386,                0.78471,                 0.8637,                0.64519,                0.75967,                  1.505,                0.66737,                 1.1995,              0.0016634,              0.0016634,              0.0016634
                     37,                0.68367,                 1.2614,                0.67389,                 1.0866,                0.88691,                0.79927,                0.87464,                0.67924,                 0.8933,                0.81146,                0.88008,                0.66338,                0.75461,                 1.4162,                0.64434,                 1.1842,              0.0016535,              0.0016535,              0.0016535
                     38,                0.68287,                 1.2475,                0.66294,                 1.0762,                0.86897,                0.78089,                0.85058,                0.66991,                0.87415,                0.78854,                0.85915,                0.64568,                0.77261,                 1.4717,                0.69489,                 1.1963,              0.0016436,              0.0016436,              0.0016436
                     39,                0.66945,                 1.2158,                0.64817,                 1.0688,                0.87243,                0.80637,                0.87125,                0.68272,                0.87437,                0.81019,                0.87911,                0.67285,                0.74224,                 1.3986,                 0.6382,                 1.1839,              0.0016337,              0.0016337,              0.0016337
                     40,                0.66776,                 1.2153,                0.64652,                 1.0702,                0.88655,                0.78645,                0.86795,                0.69119,                 0.8915,                0.79108,                 0.8676,                0.65914,                0.73113,                 1.4591,                0.63643,                 1.1726,              0.0016238,              0.0016238,              0.0016238
                     41,                0.65641,                  1.203,                0.62234,                 1.0603,                0.84106,                 0.8089,                0.86911,                0.68964,                0.85033,                0.81782,                0.88047,                0.66186,                0.72241,                 1.3977,                0.64304,                 1.1539,              0.0016139,              0.0016139,              0.0016139
                     42,                0.63082,                 1.1473,                0.60422,                 1.0468,                0.87733,                0.77452,                0.85327,                0.66721,                0.89153,                0.76815,                0.85968,                 0.6442,                0.74046,                 1.4528,                0.71851,                 1.1685,               0.001604,               0.001604,               0.001604
                     43,                0.65566,                 1.2092,                0.62448,                 1.0487,                0.87616,                0.76688,                0.86515,                0.68046,                0.88362,                 0.7707,                0.86096,                0.64914,                0.74389,                  1.482,                0.64536,                 1.1803,              0.0015941,              0.0015941,              0.0015941
                     44,                0.65535,                 1.1719,                0.62509,                 1.0564,                0.84676,                0.81146,                0.87611,                0.69881,                 0.8905,                0.79236,                0.87991,                0.67917,                0.72145,                 1.3824,                0.65909,                 1.1583,              0.0015842,              0.0015842,              0.0015842
                     45,                0.65811,                 1.1969,                0.61247,                  1.048,                0.87587,                0.78198,                 0.8587,                0.69583,                0.89696,                0.79745,                0.87072,                0.66337,                0.71282,                  1.453,                0.62353,                 1.1452,              0.0015743,              0.0015743,              0.0015743
                     46,                0.63882,                 1.1475,                0.59608,                 1.0498,                0.88012,                0.78981,                0.87094,                 0.6923,                0.87946,                0.79873,                0.87054,                0.66684,                0.73271,                  1.358,                0.66703,                 1.1637,              0.0015644,              0.0015644,              0.0015644
                     47,                0.64078,                 1.1845,                0.60985,                 1.0488,                 0.8727,                0.79473,                0.87157,                0.68307,                0.87903,                0.78854,                0.87194,                0.66802,                0.76181,                 1.4089,                0.64385,                    1.2,              0.0015545,              0.0015545,              0.0015545
                     48,                0.63584,                 1.1463,                0.58663,                 1.0402,                0.87984,                0.78353,                0.85985,                0.68716,                0.89057,                0.79236,                0.86715,                0.67179,                 0.7254,                  1.431,                0.64872,                 1.1591,              0.0015446,              0.0015446,              0.0015446
